iter	Passed	Remaining
489	1140	1187
490	1142	1184
491	1144	1182
492	1146	1179
493	1149	1177
494	1151	1174
495	1153	1172
496	1156	1170
497	1158	1167
498	1160	1164
499	1162	1162
500	1164	1159
501	1166	1157
502	1169	1155
503	1171	1152
504	1173	1150
505	1176	1148
506	1178	1145
507	1180	1143
508	1183	1141
509	1185	1139
510	1187	1136
511	1190	1134
512	1192	1132
513	1194	1129
514	1196	1127
515	1199	1124
516	1201	1122
517	1204	1120
518	1206	1118
519	1208	1115
520	1210	1112
521	1212	1110
522	1214	1107
523	1216	1105
524	1219	1102
525	1221	1100
526	1222	1097
527	1225	1095
528	1227	1093
529	1230	1090
530	1232	1088
531	1234	1085
532	1236	1083
533	1238	1080
534	1240	1078
535	1242	1075
536	1245	1073
537	1247	1071
538	1249	1068
539	1252	1066
540	1254	1064
541	1256	1061
542	1259	1059
543	1261	1057
544	1263	1054
545	1266	1053
546	1268	1050
547	1270	1048
548	1273	1046
549	1275	1043
550	1277	1041
551	1279	1038
552	1281	1036
553	1284	1033
554	1286	1031
555	1288	1028
556	1290	1026
557	1292	1023
558	1294	1021
559	1296	1018
560	1299	1017
561	1302	1014
562	1304	1012
563	1306	1009
564	1308	1007
565	1310	1005
566	1312	1002
567	1314	1000
568	1316	997
569	1318	994
570	1320	992
571	1322	989
572	1324	987
573	1326	984
574	1328	982
575	1330	979
576	1332	977
577	1334	974
578	1336	972
579	1338	969
580	1340	966
581	1342	964
582	1344	961
583	1346	959
584	1348	956
585	1350	954
586	1352	951
587	1354	949
588	1356	946
589	1358	944
590	1360	941
591	1362	939
592	1364	936
593	1366	934
594	1368	931
595	1370	929
596	1372	926
597	1374	924
598	1376	921
599	1378	919
600	1380	916
601	1382	914
602	1384	911
603	1386	909
604	1388	906
605	1390	904
606	1392	901
607	1394	899
608	1396	896
609	1398	894
610	1400	891
611	1402	889
612	1404	886
613	1406	884
614	1408	882
615	1411	879
616	1413	877
617	1415	874
618	1417	872
619	1419	869
620	1421	867
621	1423	864
622	1425	862
623	1427	859
624	1429	857
625	1431	855
626	1433	852
627	1435	850
628	1437	847
629	1439	845
630	1441	842
631	1442	840
632	1445	837
633	1447	835
634	1448	832
635	1450	830
636	1453	828
637	1455	825
638	1457	823
639	1459	820
640	1461	818
641	1463	815
642	1465	813
643	1467	811
644	1469	808
645	1471	806
646	1473	804
647	1475	801
648	1477	799
649	1480	797
650	1482	794
651	1484	792
652	1487	790
653	1489	788
654	1491	785
655	1494	783
656	1496	781
657	1498	778
658	1500	776
659	1503	774
660	1505	771
661	1507	769
662	1509	767
663	1511	764
664	1513	762
665	1515	759
666	1517	757
667	1519	755
668	1521	752
669	1523	750
670	1526	748
671	1528	745
672	1530	743
673	1532	741
674	1534	739
675	1536	736
676	1538	734
677	1541	732
678	1543	729
679	1545	727
680	1548	725
681	1550	722
682	1552	720
683	1554	718
684	1556	715
685	1558	713
686	1560	711
687	1563	709
688	1565	706
689	1567	704
690	1570	702
691	1572	699
692	1574	697
693	1577	695
694	1579	692
695	1581	690
696	1583	688
697	1586	686
698	1589	684
699	1591	682
700	1593	679
701	1595	677
702	1597	675
703	1599	672
704	1602	670
705	1604	668
706	1607	665
707	1609	663
708	1612	661
709	1614	659
710	1616	657
711	1618	654
712	1620	652
713	1623	650
714	1625	648
715	1627	645
716	1630	643
717	1632	641
718	1634	638
719	1637	636
720	1639	634
721	1641	632
722	1643	629
723	1646	627
724	1648	625
725	1650	622
726	1652	620
727	1654	618
728	1656	615
729	1659	613
730	1661	611
731	1663	609
732	1666	607
733	1668	604
734	1670	602
735	1673	600
736	1675	597
737	1677	595
738	1679	593
739	1682	590
740	1684	588
741	1686	586
742	1688	584
743	1691	582
744	1693	579
745	1696	577
746	1699	575
747	1701	573
748	1703	570
749	1705	568
750	1707	566
751	1710	564
752	1713	561
753	1715	559
754	1717	557
755	1720	555
756	1722	552
757	1724	550
758	1727	548
759	1729	546
760	1731	543
761	1734	541
762	1736	539
763	1738	537
764	1741	534
765	1743	532
766	1745	530
767	1748	528
768	1750	525
769	1752	523
770	1755	521
771	1757	519
772	1759	516
773	1762	514
774	1764	512
775	1767	510
776	1769	507
777	1771	505
778	1774	503
779	1776	501
780	1778	498
781	1780	496
782	1782	494
783	1785	491
784	1787	489
785	1789	487
786	1791	484
787	1793	482
788	1796	480
789	1798	478
790	1800	475
791	1803	473
792	1805	471
793	1807	468
794	1809	466
795	1811	464
796	1814	462
797	1816	459
798	1818	457
799	1820	455
800	1823	452
801	1825	450
802	1828	448
803	1830	446
804	1833	444
805	1835	441
806	1837	439
807	1840	437
808	1842	435
809	1844	432
810	1846	430
811	1849	428
812	1851	425
813	1853	423
814	1856	421
815	1858	419
816	1860	416
817	1863	414
818	1865	412
819	1867	410
820	1870	407
821	1872	405
822	1874	403
823	1877	400
824	1879	398
825	1881	396
826	1883	394
827	1885	391
828	1888	389
829	1890	387
830	1892	384
831	1894	382
832	1897	380
833	1899	378
834	1901	375
835	1904	373
836	1906	371
837	1908	369
838	1911	366
839	1913	364
840	1915	362
841	1917	359
842	1920	357
843	1922	355
844	1924	353
845	1926	350
846	1929	348
847	1931	346
848	1933	343
849	1936	341
850	1938	339
851	1940	337
852	1942	334
853	1944	332
854	1946	330
855	1948	327
856	1951	325
857	1953	323
858	1955	321
859	1958	318
860	1960	316
861	1962	314
862	1964	311
863	1967	309
864	1969	307
865	1971	305
866	1973	302
867	1976	300
868	1978	298
869	1980	295
870	1983	293
871	1985	291
872	1987	289
873	1989	286
874	1992	284
875	1994	282
876	1996	279
877	1998	277
878	2000	275
879	2002	273
880	2005	270
881	2007	268
882	2009	266
883	2011	263
884	2013	261
885	2016	259
886	2018	257
887	2020	254
888	2022	252
889	2024	250
890	2026	247
891	2029	245
892	2031	243
893	2033	241
894	2035	238
895	2037	236
896	2039	234
897	2041	231
898	2044	229
899	2046	227
900	2048	225
901	2050	222
902	2052	220
903	2054	218
904	2056	215
905	2059	213
906	2061	211
907	2063	209
908	2065	206
909	2067	204
910	2069	202
911	2071	199
912	2073	197
913	2075	195
914	2078	193
915	2080	190
916	2082	188
917	2084	186
918	2086	183
919	2088	181
920	2091	179
921	2093	177
922	2095	174
923	2097	172
924	2099	170
925	2101	167
926	2103	165
927	2105	163
928	2107	161
929	2109	158
930	2112	156
931	2114	154
932	2116	151
933	2118	149
934	2120	147
935	2123	145
936	2125	142
937	2127	140
938	2130	138
939	2132	136
940	2135	133
941	2137	131
942	2140	129
943	2142	127
944	2145	124
945	2147	122
946	2149	120
947	2152	118
948	2154	115
949	2156	113
950	2159	111
951	2161	108
952	2163	106
953	2165	104
954	2168	102
955	2170	99
956	2172	97
957	2174	95
958	2177	93
959	2179	90
960	2181	88
961	2183	86
962	2185	83
963	2187	81
964	2189	79
965	2192	77
966	2194	74
967	2196	72
968	2198	70
969	2200	68
970	2202	65
971	2204	63
972	2207	61
973	2209	58
974	2211	56
975	2213	54
976	2215	52
977	2217	49
978	2220	47
979	2222	45
980	2224	43
981	2226	40
982	2228	38
983	2230	36
984	2232	34
985	2235	31
986	2237	29
987	2239	27
988	2241	24
989	2243	22
990	2245	20
991	2248	18
992	2250	15
993	2252	13
994	2254	11
995	2256	9
996	2259	6
997	2261	4
998	2263	2
999	2266	0
