iter	Logloss
0	0.6736055908
1	0.6559454346
2	0.6394401245
3	0.6228771362
4	0.6062614746
5	0.5917183838
6	0.5782094116
7	0.5673005371
8	0.5594371948
9	0.5450632324
10	0.5325662231
11	0.522236084
12	0.517331543
13	0.5074573059
14	0.4964230957
15	0.4855215759
16	0.4745888977
17	0.4650178528
18	0.4559957886
19	0.4472683716
20	0.4390361328
21	0.4311998291
22	0.4256322021
23	0.4184891663
24	0.4110067139
25	0.4041803894
26	0.3983313599
27	0.3911865845
28	0.385566925
29	0.3802357178
30	0.3760397644
31	0.3712312317
32	0.3661345825
33	0.3610553284
34	0.3563078918
35	0.3511147156
36	0.3463984375
37	0.3415964661
38	0.3376704102
39	0.3335445557
40	0.3289433289
41	0.3246134033
42	0.3207561646
43	0.316850769
44	0.3135011292
45	0.3097634888
46	0.3058241577
47	0.3029582825
48	0.2992670288
49	0.2965443726
50	0.2934248657
51	0.2903955994
52	0.2872631226
53	0.284225647
54	0.281480896
55	0.2788494873
56	0.2762280884
57	0.2738250427
58	0.2712582397
59	0.2689663086
60	0.2667521973
61	0.2641873169
62	0.2614262695
63	0.2589396973
64	0.2565476379
65	0.2538575592
66	0.2518839111
67	0.2499261169
68	0.2478903656
69	0.2461420441
70	0.2441783447
71	0.2418842621
72	0.2401795044
73	0.2381650085
74	0.2358081055
75	0.233919281
76	0.2320749969
77	0.2302561798
78	0.2288574524
79	0.2270127106
80	0.2253878784
81	0.2238412018
82	0.2219781799
83	0.2206917267
84	0.2188775482
85	0.2172601929
86	0.2160198059
87	0.2145062714
88	0.2131865845
89	0.2117260437
90	0.2102897339
91	0.2088134613
92	0.2074090729
93	0.2056830292
94	0.2042275391
95	0.2028077698
96	0.2013426514
97	0.2001286011
98	0.1991385345
99	0.1979080505
100	0.1965308075
101	0.1954031525
102	0.1943595581
103	0.1936252136
104	0.1923522644
105	0.1910632172
106	0.1895964355
107	0.1888955994
108	0.1878833923
109	0.1866807251
110	0.1855728912
111	0.1844161987
112	0.1832245789
113	0.1821269836
114	0.1812535706
115	0.1802977905
116	0.1791181183
117	0.1780037537
118	0.1769544983
119	0.1758687286
120	0.1753048553
121	0.1744095764
122	0.1735586853
123	0.1726088409
124	0.1718399048
125	0.1706912842
126	0.1699602661
127	0.1689555817
128	0.1681539001
129	0.1672185211
130	0.1663622742
131	0.1656277313
132	0.1646615295
133	0.163934845
134	0.1632301941
135	0.1622162476
136	0.1613614349
137	0.1605413971
138	0.1597120972
139	0.1590895996
140	0.1585090942
141	0.1577128754
142	0.1570239868
143	0.1562754669
144	0.1556798401
145	0.1549506683
146	0.1542386627
147	0.1533230591
148	0.1525579529
149	0.1518619385
150	0.1511638641
151	0.1504942322
152	0.1495951538
153	0.1488105927
154	0.1480625
155	0.1474138184
156	0.1467373352
157	0.1461717072
158	0.1455443268
159	0.1448685303
160	0.1441788635
161	0.1434024658
162	0.1426563416
163	0.1420960236
164	0.1415527344
165	0.1408685455
166	0.1401853027
167	0.1395581512
168	0.1391888428
169	0.1385231628
170	0.137956131
171	0.1373498077
172	0.1367997742
173	0.1362053375
174	0.1357315216
175	0.1351308746
176	0.13463797
177	0.1341831207
178	0.1335645752
179	0.1329605103
180	0.1323974915
181	0.1318059387
182	0.1314275208
183	0.1309043579
184	0.1304312744
185	0.1298997498
186	0.1294365845
187	0.1287092896
188	0.1280840759
189	0.1274509125
190	0.1269619827
191	0.126551857
192	0.1260447998
193	0.1256656113
194	0.1252726135
195	0.1247382355
196	0.1242480927
197	0.1236910858
